gen mean_fit std_fit max_fit
2 65.051093 18.003985 80.392245
3 73.590347 13.435442 80.392245
4 73.867634 13.809642 80.392245
5 74.528417 12.960821 80.392245
6 72.78057 16.253212 80.392245
7 75.717285 8.885708 83.092245
8 77.299445 4.761582 83.092245
9 76.680774 10.192971 83.092245
10 76.823015 10.98078 83.092245
11 75.139125 13.219725 83.092245
12 78.167445 10.225176 83.092245
13 76.776405 13.409447 83.092245
14 78.037845 12.404758 83.092245
15 77.588565 13.207423 83.092245
16 76.530165 14.24455 83.092245
17 76.461045 14.224482 83.092245
18 79.506645 10.552965 83.092245
19 77.420085 13.176642 83.092245
20 79.424565 10.563106 83.092245
