gen mean_fit std_fit max_fit
2 51.498856 43.224459 93.931733
3 76.060016 31.419681 93.931733
4 88.488348 16.708682 93.931733
5 86.319969 22.50229 93.931733
6 87.362927 20.347281 93.931733
7 88.934966 17.307676 93.991733
8 91.912991 10.829879 93.991733
9 92.812873 7.673117 93.991733
10 93.686627 0.514043 93.991733
11 93.794628 0.394396 93.991733
12 91.88555 13.217437 93.991733
13 93.841432 0.343822 93.991733
14 93.829694 0.348827 93.991733
15 93.88932 0.268839 93.991733
16 93.823072 0.370201 93.991733
17 93.866398 0.319982 93.991733
18 93.820233 0.416231 93.991733
19 93.790546 0.44384 93.991733
20 93.885522 0.333407 93.991733
