gen mean_fit std_fit max_fit
2 33.6431 40.762848 93.679361
3 47.728279 40.87516 93.679361
4 71.713906 32.181474 93.775993
5 84.061948 25.265685 94.339465
6 83.448784 26.305019 94.339465
7 85.36608 23.434086 94.339465
8 88.739845 18.370953 94.458708
9 91.242573 12.940854 94.458708
10 91.51032 13.036673 94.458708
11 86.176389 24.994155 94.458708
12 85.604478 25.947393 94.458708
13 89.213999 19.58288 94.521683
14 87.395007 23.125186 94.521683
15 84.538752 26.902295 94.521683
16 89.788775 18.706306 94.521683
17 91.158389 15.595442 94.521683
18 93.430416 7.690482 94.521683
19 92.971124 10.088078 94.521683
20 94.116694 1.149298 94.521683
