,index,group,enemies_slain,gain,player_life,enemy_life,time,index,group,enemies_slain,gain,player_life,enemy_life,time
0,7,up4_comb1_best_solution,6.0,148.80000000000103,29.850000000000147,11.25,400.625,7,up4_comb1_best_solution,6.0,148.80000000000103,29.850000000000147,11.25,400.625
1,1,1234best_solution,5.0,135.00000000000045,45.62500000000006,28.75,299.0,2,ALLGbest_solution,5.0,142.00000000000057,44.00000000000007,26.25,298.75
2,2,ALLGbest_solution,5.0,142.00000000000057,44.00000000000007,26.25,298.75,1,1234best_solution,5.0,135.00000000000045,45.62500000000006,28.75,299.0
3,10,COMBINATION_V1_best_solution,5.0,-0.5999999999987636,29.92500000000016,30.0,219.375,8,upgraded_fourth_best_solution,5.0,78.0000000000009,27.25000000000012,17.5,376.75
4,6,tracking_best_solution,5.0,-7.599999999998767,29.050000000000153,30.0,228.25,0,fourth_best_solution,4.0,61.000000000000625,20.12500000000007,12.5,375.875
5,8,upgraded_fourth_best_solution,5.0,78.0000000000009,27.25000000000012,17.5,376.75,11,ALLbest_solution,5.0,33.80000000000116,26.725000000000144,22.5,241.5
6,5,ALEXIS1_best_solution,5.0,-5.399999999998835,26.82500000000015,27.5,231.875,9,1234_best_solution,4.0,11.600000000000364,35.200000000000045,33.75,320.5
7,11,ALLbest_solution,5.0,33.80000000000116,26.725000000000144,22.5,241.5,10,COMBINATION_V1_best_solution,5.0,-0.5999999999987636,29.92500000000016,30.0,219.375
8,3,06_04fit_best_solution,5.0,-36.59999999999887,21.675000000000143,26.25,233.75,5,ALEXIS1_best_solution,5.0,-5.399999999998835,26.82500000000015,27.5,231.875
9,9,1234_best_solution,4.0,11.600000000000364,35.200000000000045,33.75,320.5,6,tracking_best_solution,5.0,-7.599999999998767,29.050000000000153,30.0,228.25
10,4,second_best_solution,4.0,-28.399999999999046,26.45000000000013,30.0,230.375,4,second_best_solution,4.0,-28.399999999999046,26.45000000000013,30.0,230.375
11,0,fourth_best_solution,4.0,61.000000000000625,20.12500000000007,12.5,375.875,3,06_04fit_best_solution,5.0,-36.59999999999887,21.675000000000143,26.25,233.75
