gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 -3.167489 10.316174 44.018586 -97.4 10.355675 -50.0
1 -3.229382 9.913797 44.031292 -97.5 9.937303 -50.0
2 -1.420375 14.722877 73.504734 -95.7 14.782084 -20.0
3 -2.208487 14.292298 73.504734 -96.4 14.388885 -20.0
4 2.335102 16.779661 44.075744 -91.9 16.834191 -50.0
5 5.560094 18.311891 44.179917 -88.7 18.366001 -50.0
6 11.176097 23.506098 124.829516 -82.3 27.562837 100
7 19.629946 24.050501 84.2699 -74.5 24.098755 -10.0
8 22.935698 21.677965 44.122264 -71.2 21.738445 -50.0
9 36.486488 14.965347 44.122264 -57.6 15.041277 -50.0
10 37.771909 15.597183 44.179917 -56.3 15.662375 -50.0
11 41.778515 9.8473 44.136369 -52.3 9.884837 -50.0
12 43.587545 4.960083 44.122264 -50.5 4.974937 -50.0
13 43.114731 6.982915 44.122264 -51.0 7.0 -50.0
14 44.122264 0.0 44.122264 -50.0 0.0 -50.0
15 44.122264 0.0 44.122264 -50.0 0.0 -50.0
16 44.122264 0.0 44.122264 -50.0 0.0 -50.0
17 44.122264 0.0 44.122264 -50.0 0.0 -50.0
18 44.122264 0.0 44.122264 -50.0 0.0 -50.0
19 44.122264 0.0 44.122264 -50.0 0.0 -50.0
20 44.122264 0.0 44.122264 -50.0 0.0 -50.0
