gen mean_fit std_fit max_fit
2 12.933061 29.89086 89.890119
3 16.275378 31.125733 89.890119
4 17.214931 30.910977 89.890119
5 21.687491 33.469691 89.890119
6 27.074444 34.704307 89.890119
7 31.316218 35.104781 89.890119
8 34.296657 34.956061 89.890119
9 36.663899 35.068549 89.890119
10 38.386036 34.826634 89.890119
11 44.700192 34.923069 89.890119
12 46.047418 34.620096 89.890119
13 53.513797 33.058399 89.890119
14 58.214122 31.858564 89.890119
15 63.812497 30.58308 89.890119
16 69.12563 27.494272 89.890119
17 72.515695 24.844218 89.890119
18 78.195358 18.908054 89.890119
19 83.396098 9.925448 89.890119
20 81.565493 19.435917 89.890119
