gen mean_fit std_fit max_fit
2 8.501951 26.127394 87.670675
3 10.735093 26.129167 87.670675
4 14.452515 29.403036 88.994699
5 16.458925 30.005035 88.994699
6 16.973665 29.826571 88.994699
7 19.417934 31.278579 88.994699
8 22.410715 32.314088 88.994699
9 25.737561 32.955054 88.994699
10 31.100791 33.793321 88.994699
11 37.945273 34.123846 88.994699
12 40.131475 33.120748 88.994699
13 44.660102 32.902718 88.994699
14 50.200195 32.989821 88.994699
15 55.77994 32.043928 88.994699
16 56.452736 33.400436 88.994699
17 56.804327 33.039414 88.994699
18 61.513773 31.204082 88.994699
19 62.632935 31.484433 88.994699
20 67.158256 28.853314 88.994699
