gen mean_fit std_fit max_fit
2 17.760899 29.241705 87.212892
3 24.260331 30.339823 87.212892
4 31.980511 29.802205 87.212892
5 41.410938 26.935174 87.212892
6 51.162549 21.375745 87.212892
7 58.584021 19.288776 90.661921
8 58.157717 23.122763 90.661921
9 59.582076 24.280399 90.661921
10 66.039518 17.612298 90.661921
11 65.386333 23.830987 90.661921
12 66.564989 24.398041 90.661921
13 65.756983 26.097686 90.661921
14 69.491036 22.433612 90.661921
15 68.392601 26.459834 90.661921
16 71.116349 24.527651 90.661921
17 74.391578 21.19297 90.661921
18 71.974709 26.716806 91.49699
19 72.937172 25.722985 91.49699
20 72.634448 29.191558 91.49699
