enemy,player_health,enemy_health,gain,time,lefts,rights,jumps,releases,shots,accuracy
8,66.4,0,66.4,256,49,251,256,256,230,0.43
8,66.4,0,66.4,256,98,502,512,512,460,0.22
8,66.4,0,66.4,256,147,753,768,768,690,0.14
8,66.4,0,66.4,256,196,1004,1024,1024,920,0.11
8,66.4,0,66.4,256,245,1255,1280,1280,1150,0.09
8,76.0,0,76.0,359,14,359,1,0,354,0.28
8,76.0,0,76.0,359,28,718,2,0,708,0.14
8,76.0,0,76.0,359,42,1077,3,0,1062,0.09
8,76.0,0,76.0,359,56,1436,4,0,1416,0.07
8,76.0,0,76.0,359,70,1795,5,0,1770,0.06
8,84.4,0,84.4,202,5,17,202,86,202,0.5
8,84.4,0,84.4,202,10,34,404,172,404,0.25
8,84.4,0,84.4,202,15,51,606,258,606,0.17
8,84.4,0,84.4,202,20,68,808,344,808,0.12
8,84.4,0,84.4,202,25,85,1010,430,1010,0.1
8,76.6,0,76.6,270,0,11,270,4,270,0.37
8,76.6,0,76.6,270,0,22,540,8,540,0.19
8,76.6,0,76.6,270,0,33,810,12,810,0.12
8,76.6,0,76.6,270,0,44,1080,16,1080,0.09
8,76.6,0,76.6,270,0,55,1350,20,1350,0.07
8,58.0,0,58.0,305,12,305,14,235,224,0.45
8,58.0,0,58.0,305,24,610,28,470,448,0.22
8,58.0,0,58.0,305,36,915,42,705,672,0.15
8,58.0,0,58.0,305,48,1220,56,940,896,0.11
8,58.0,0,58.0,305,60,1525,70,1175,1120,0.09
8,77.8,0,77.8,278,110,278,247,0,265,0.38
8,77.8,0,77.8,278,220,556,494,0,530,0.19
8,77.8,0,77.8,278,330,834,741,0,795,0.13
8,77.8,0,77.8,278,440,1112,988,0,1060,0.09
8,77.8,0,77.8,278,550,1390,1235,0,1325,0.08
8,68.2,0,68.2,205,3,123,67,205,197,0.51
8,68.2,0,68.2,205,6,246,134,410,394,0.25
8,68.2,0,68.2,205,9,369,201,615,591,0.17
8,68.2,0,68.2,205,12,492,268,820,788,0.13
8,68.2,0,68.2,205,15,615,335,1025,985,0.1
8,71.2,0,71.2,303,0,233,303,299,260,0.38
8,71.2,0,71.2,303,0,466,606,598,520,0.19
8,71.2,0,71.2,303,0,699,909,897,780,0.13
8,71.2,0,71.2,303,0,932,1212,1196,1040,0.1
8,71.2,0,71.2,303,0,1165,1515,1495,1300,0.08
8,76.0,0,76.0,288,138,209,207,0,288,0.35
8,76.0,0,76.0,288,276,418,414,0,576,0.17
8,76.0,0,76.0,288,414,627,621,0,864,0.12
8,76.0,0,76.0,288,552,836,828,0,1152,0.09
8,76.0,0,76.0,288,690,1045,1035,0,1440,0.07
8,62.2,0,62.2,397,0,378,14,62,223,0.45
8,62.2,0,62.2,397,0,756,28,124,446,0.22
8,62.2,0,62.2,397,0,1134,42,186,669,0.15
8,62.2,0,62.2,397,0,1512,56,248,892,0.11
8,62.2,0,62.2,397,0,1890,70,310,1115,0.09
