gen mean_fit std_fit max_fit
2 7.219635 19.748686 72.041885
3 17.877767 23.851906 74.201885
4 26.512248 26.099911 74.201885
5 45.550606 24.163087 77.441885
6 58.69861 18.283627 77.441885
7 65.495621 17.67924 77.441885
8 66.52756 19.858203 77.441885
9 66.029657 21.93405 77.441885
10 64.992947 22.098307 77.441885
11 69.380324 17.750403 77.981885
12 68.219526 19.161329 77.981885
13 68.43963 19.060595 77.981885
14 67.153271 20.940407 77.981885
15 69.342672 16.574132 77.981885
16 68.013173 20.032254 77.981885
17 70.333197 16.645384 77.981885
18 68.937203 19.785381 77.981885
19 64.713191 25.381139 77.981885
20 69.706016 17.917551 78.521885
