gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 -4.297964 5.32923 24.179917 -97.5 8.87412 -50.0
1 -4.073155 5.300299 24.179917 -97.2 8.840814 -50.0
2 -4.743582 3.296887 12.2699 -98.3 5.487258 -70.0
3 -4.662473 4.351624 30.091917 -98.2 7.263608 -40.0
4 -4.10517 5.971913 30.059829 -97.1 10.029457 -40.0
5 -2.213529 9.027709 30.028738 -94.0 15.165751 -40.0
6 -2.870062 7.065209 24.013548 -95.2 11.872658 -50.0
7 1.031365 10.924032 30.097367 -88.7 18.420369 -40.0
8 8.029494 12.80842 29.971721 -76.9 21.526495 -40.0
9 13.086487 11.53483 29.983843 -68.4 19.427815 -40.0
10 15.543014 12.823215 35.668498 -64.2 21.549014 -30.0
11 19.103492 12.105798 48.078422 -58.3 20.398774 -10.0
12 18.499461 13.638475 48.078422 -59.3 22.945806 -10.0
13 19.516339 13.232849 48.078422 -57.6 22.231509 -10.0
14 22.564739 10.793571 48.078422 -52.5 18.076227 -10.0
15 24.77469 10.484201 48.078422 -48.8 17.565876 -10.0
16 25.149161 12.752266 48.078422 -48.2 21.371944 -10.0
17 24.612023 14.387508 48.078422 -49.1 24.128614 -10.0
18 26.151353 13.610312 48.078422 -46.5 22.819947 -10.0
19 30.292091 14.324994 48.078422 -39.6 23.913176 -10.0
20 35.468863 17.388698 48.078422 -31.0 29.0 -10.0
