gen mean_fit std_fit max_fit
2 29.817412 38.471692 90.219724
3 51.174486 36.676124 91.151917
4 71.206587 30.270618 91.443798
5 83.561679 17.353761 91.443798
6 78.980079 22.844949 91.886267
7 85.213536 16.222945 92.19289
8 88.499846 7.465169 92.19289
9 88.674439 6.35974 92.19289
10 88.710087 7.721723 92.372751
11 88.537063 7.598817 92.372751
12 88.953351 7.201146 92.372751
13 88.481334 7.894443 92.372751
14 89.185832 6.611796 92.372751
15 89.185176 8.1471 92.372751
16 91.457272 1.529511 93.131732
17 91.115768 3.45931 93.131732
18 89.686683 8.417014 93.131732
19 89.504677 8.805585 93.131732
20 89.321698 9.488404 93.131732
