gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 -0.371266 14.42965 75.147798 -93.46 16.744802 -10.0
1 0.244551 14.098237 57.150675 -93.3 15.751508 -30.0
2 2.81649 16.693412 48.023649 -90.4 18.650469 -40.0
3 7.487263 19.23737 48.013548 -85.2 21.516505 -40.0
4 18.768355 22.03985 65.993647 -72.6 24.64224 -20.0
5 38.359565 8.694679 57.018586 -50.7 9.721625 -30.0
6 40.090055 12.956434 57.018586 -48.8 14.441607 -30.0
7 44.140406 13.042583 57.018586 -44.3 14.508963 -30.0
8 50.188812 7.846797 57.018586 -37.6 8.731552 -30.0
9 53.776951 7.263551 57.018586 -33.6 8.064738 -30.0
10 55.315352 7.247939 57.018586 -31.9 8.086408 -30.0
11 57.018586 0.0 57.018586 -30.0 0.0 -30.0
12 57.018586 0.0 57.018586 -30.0 0.0 -30.0
13 57.018586 0.0 57.018586 -30.0 0.0 -30.0
14 57.018586 0.0 57.018586 -30.0 0.0 -30.0
15 57.018586 0.0 57.018586 -30.0 0.0 -30.0
16 57.018586 0.0 57.018586 -30.0 0.0 -30.0
17 57.018586 0.0 57.018586 -30.0 0.0 -30.0
18 57.018586 0.0 57.018586 -30.0 0.0 -30.0
19 57.018586 0.0 57.018586 -30.0 0.0 -30.0
20 57.018586 0.0 57.018586 -30.0 0.0 -30.0
