gen mean_fit std_fit max_fit
2 8.300579 17.762158 60.293025
3 15.062737 18.964363 60.833025
4 20.426603 19.841738 60.833025
5 23.785129 19.976824 60.833025
6 25.363133 21.639949 60.833025
7 30.430919 21.491297 60.833025
8 39.445507 21.13466 60.833025
9 41.038509 24.390348 60.833025
10 53.426834 16.871671 61.514823
11 47.732723 24.604826 61.514823
12 50.353175 22.236799 61.886267
13 53.300582 18.852397 63.499688
14 49.150615 23.42659 64.576415
15 50.117187 22.811477 64.579688
16 48.670936 25.099652 64.579688
17 47.550757 26.629592 64.582972
18 47.709754 26.772054 64.582972
19 46.746959 27.687612 64.582972
20 50.608135 25.496985 64.582972
