gen mean_fit std_fit max_fit
2 24.482793 36.822207 92.394865
3 34.367759 39.268831 92.394865
4 43.838253 40.024803 92.394865
5 56.028759 37.82714 92.763246
6 65.745986 33.764142 92.763246
7 75.44213 28.684121 92.910571
8 80.353498 25.942569 92.910571
9 82.341054 24.925169 92.916678
10 84.589996 22.781577 92.916678
11 80.011281 29.272555 93.28027
12 87.551199 17.68527 93.784826
13 85.420609 22.283848 93.784826
14 83.083332 25.869074 93.784826
15 81.860077 28.331878 93.784826
16 83.704614 26.502685 93.784826
17 86.995773 19.948478 93.803558
18 87.99503 19.196883 93.803558
19 83.991525 25.253418 93.803558
20 87.209976 18.104599 93.936796
