gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 -1.16321 12.739073 64.812614 -77.96 39.834638 60
1 3.394495 17.62898 74.490612 -62.86 51.254077 70
2 13.227537 27.69305 74.989365 -37.46 62.476143 70
3 17.142709 32.599998 82.372379 -34.5 68.54276 78
4 21.13647 32.133092 86.519361 -17.98 64.223669 82
5 37.058177 35.930388 84.829516 11.2 63.44005 80
6 48.082905 35.849136 80.53194 26.82 62.270439 76
7 58.12937 31.140565 80.53194 44.52 50.321065 76
8 63.08623 27.764078 82.372379 49.1 51.967201 78
9 66.360827 24.007092 90.53194 56.14 41.894396 86
10 61.00476 29.327563 90.53194 49.62 45.193535 86
11 60.521734 29.284906 90.53194 50.68 43.418171 86
12 64.455314 26.6755 84.44704 53.6 43.621096 80
13 65.312446 25.351265 84.44704 54.56 43.728325 80
14 67.976733 23.669284 84.44704 57.94 41.235378 80
15 69.641968 21.555891 84.44704 59.96 39.730069 80
16 66.807161 25.810516 84.44704 54.8 47.207627 80
17 73.813305 17.400222 84.44704 66.84 29.120687 80
18 75.301393 15.715971 82.53194 68.86 25.437382 78
19 78.540167 8.381643 82.53194 73.52 13.594469 78
20 76.123665 15.832306 82.53194 70.02 24.390974 78
