gen mean_fit std_fit max_fit
2 14.14333 32.915787 90.019688
3 18.228419 34.236695 90.019688
4 24.782835 35.257748 90.019688
5 28.556133 35.216568 90.019688
6 34.713369 34.816054 90.019688
7 38.860337 33.396654 90.019688
8 41.796506 31.698162 90.019688
9 48.353793 30.103957 90.019688
10 51.973609 29.115205 90.019688
11 53.040225 30.097153 90.019688
12 58.126899 27.263145 90.019688
13 59.063547 27.449442 90.019688
14 61.287831 27.555378 90.019688
15 64.304778 25.001234 90.019688
16 66.775391 25.191312 90.019688
17 73.752027 18.542086 90.019688
18 76.20827 19.811188 90.019688
19 77.553168 21.152179 90.019688
20 81.089279 16.61276 90.152828
