gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 -3.725763 7.807357 39.013548 -97.7 8.701149 -50.0
1 -3.144594 8.216672 39.912404 -97.1 9.087904 -50.0
2 -0.730655 10.139941 21.2699 -94.4 11.253444 -70.0
3 4.400423 13.148745 39.171054 -88.7 14.605136 -50.0
4 9.984987 13.20069 39.013548 -82.5 14.654351 -50.0
5 14.58481 12.565363 39.013548 -77.4 13.972831 -50.0
6 17.197274 11.663888 39.013548 -74.5 12.990381 -50.0
7 24.366545 8.490141 48.182889 -66.5 9.526279 -40.0
8 30.338351 9.5935 48.182889 -59.8 10.768473 -40.0
9 33.541897 9.588392 48.182889 -56.2 10.749884 -40.0
10 32.934023 10.593807 48.182889 -56.9 11.890753 -40.0
11 38.885757 6.841027 48.182889 -50.2 7.613147 -40.0
12 40.350002 6.854739 48.182889 -48.6 7.618399 -40.0
13 40.98739 6.552285 48.222348 -47.9 7.251896 -40.0
14 41.804626 6.827363 48.222348 -47.0 7.549834 -40.0
15 42.189754 7.683337 48.222348 -46.6 8.511169 -40.0
16 44.375884 6.16746 48.222348 -44.2 6.808818 -40.0
17 46.563718 4.671409 48.222348 -41.8 5.173007 -40.0
18 48.197883 0.019153 48.222348 -40.0 0.0 -40.0
19 48.20617 0.019407 48.222348 -40.0 0.0 -40.0
20 48.212088 0.017308 48.222348 -40.0 0.0 -40.0
