gen mean_fit std_fit max_fit
2 33.932704 41.778896 92.946677
3 47.029734 42.347794 92.946677
4 59.690864 38.803115 92.946677
5 76.156274 28.462279 92.946677
6 81.998552 26.76532 92.946677
7 81.917378 27.998835 93.472124
8 84.439791 24.834982 93.472124
9 82.858178 27.122818 93.472124
10 86.21492 22.691976 93.472124
11 83.356083 27.518346 93.472124
12 87.106965 21.163487 93.999644
13 83.368286 27.79708 93.999644
14 85.038632 24.555051 93.999644
15 82.164719 28.833046 93.999644
16 81.945833 29.606577 93.999644
17 84.679612 24.565218 93.999644
18 81.30544 29.367967 93.999644
19 80.709663 29.168057 93.999644
20 87.087999 21.222303 93.999644
