gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 -2.700247 10.432013 44.070411 -96.9 10.458967 -50.0
1 -1.961613 13.064914 84.067755 -96.2 13.098091 -10.0
2 2.25208 20.034425 84.067755 -92.0 20.099751 -10.0
3 4.071298 19.066089 84.067755 -90.2 19.182283 -10.0
4 8.753301 19.848687 84.067755 -85.42 19.926455 -10.0
5 14.534077 20.910136 64.018586 -79.6 21.01999 -30.0
6 19.905039 22.30222 64.018586 -74.3 22.416735 -30.0
7 32.492542 22.715833 64.2699 -61.6 22.791226 -30.0
8 40.61808 21.917024 64.018586 -53.4 21.964517 -30.0
9 41.847617 21.033747 64.018586 -52.2 21.146158 -30.0
10 43.140699 21.214113 64.018586 -50.9 21.26476 -30.0
11 50.631329 14.883928 64.018586 -43.4 14.914423 -30.0
12 47.65343 21.907928 64.125069 -46.4 21.978171 -30.0
13 53.841615 17.833277 64.018586 -40.2 17.887426 -30.0
14 56.051896 18.804049 64.018586 -38.0 18.867962 -30.0
15 60.206727 11.731711 64.018586 -33.8 11.728598 -30.0
16 63.217419 3.662472 64.018586 -30.8 3.655133 -30.0
17 64.018586 0.0 64.018586 -30.0 0.0 -30.0
18 63.818535 1.990476 64.018586 -30.2 1.989975 -30.0
19 63.618485 2.800705 64.018586 -30.4 2.8 -30.0
20 63.819104 1.984818 64.018586 -30.2 1.989975 -30.0
