gen mean_fit std_fit max_fit mean_gain std_gain max_gain
0 8.094153 20.534574 62.256216 -89.587548 34.788929 3.737985
1 19.256044 24.099099 62.280094 -70.492016 40.810521 3.797678
2 34.104145 24.427114 62.280094 -45.11613 41.458229 3.797678
3 47.56707 24.408388 62.280094 -21.7936 41.741836 3.797678
4 58.579665 12.742529 62.280124 -2.726267 22.016544 3.797755
5 61.769643 0.823686 62.280124 2.807071 1.716249 3.797755
6 58.661982 12.887114 62.280124 -2.5086 22.057836 3.797755
7 60.640302 7.944537 62.280124 0.866124 13.811084 3.797755
8 61.337859 1.701874 62.280124 1.973422 3.225128 3.797755
9 59.405467 9.011142 62.280124 -1.291724 15.518829 3.797755
10 59.605447 11.01707 62.280124 -0.971595 19.158458 3.797755
11 59.76934 7.962928 62.280124 -0.713947 13.737087 3.797755
12 61.248341 2.272391 62.280124 1.891641 4.26273 3.797755
13 57.520114 13.583434 62.280124 -4.596529 23.445243 3.797755
14 58.573935 13.000368 62.280124 -2.659056 22.039144 3.797755
15 59.216917 10.731281 62.280124 -1.622173 18.416313 3.797755
16 60.25743 7.974517 62.280124 0.141089 13.919206 3.797755
17 56.823023 15.359038 62.280124 -5.793706 26.423621 3.797755
18 57.979205 13.562906 62.280124 -3.824141 23.147474 3.797755
19 57.261512 15.212847 62.280124 -4.9921 26.126737 3.797755
20 54.447549 20.136556 62.280124 -9.774623 34.428298 3.797755
21 54.995889 19.884294 62.280124 -8.685617 33.972488 3.797755
22 54.286202 20.337972 62.280124 -10.044289 34.835236 3.797755
23 55.687337 18.493211 62.280124 -7.563582 31.458015 3.797755
24 52.494268 22.225355 62.280124 -13.131806 38.01003 3.797755
25 56.038636 17.878362 62.280124 -7.006532 30.610836 3.797755
26 50.740676 23.729454 62.280124 -16.10372 40.506884 3.797755
27 49.125906 25.203708 62.280124 -18.852071 42.98846 3.797755
28 52.439968 23.019126 62.280124 -13.036792 39.241185 3.797755
29 58.272774 14.822572 62.280124 -3.150122 25.39512 3.797755
30 55.419373 19.045202 62.280124 -8.065844 32.597691 3.797755
