gen mean_fit std_fit max_fit
2 47.01117 33.681493 89.066695
3 73.577606 15.426041 89.066695
4 82.340717 8.407108 89.236695
5 85.001955 7.875017 91.461683
6 85.770209 7.74088 91.532892
7 85.395475 8.434598 91.941683
8 86.764149 7.401632 92.181683
9 87.147285 7.787836 92.181683
10 88.424921 6.286667 92.181683
11 89.341682 5.32028 92.181683
12 90.15046 4.539013 92.181683
13 90.008162 5.221746 92.181683
14 90.307471 5.390278 92.181683
15 90.405661 4.488954 92.181683
16 90.120814 5.079576 92.181683
17 90.320638 4.978785 92.181683
18 90.19961 5.125641 92.181683
19 89.96105 5.688597 92.181683
20 90.991638 3.594813 92.181683
