gen mean_fit std_fit max_fit
2 40.573565 41.368185 94.300945
3 64.411094 36.954552 94.300945
4 89.758939 11.625044 94.300945
5 92.610338 1.150943 94.461683
6 93.261359 0.695172 94.521683
7 93.338718 0.815895 94.521683
8 92.671233 8.461714 94.660945
9 92.833978 8.39503 94.660945
10 92.878097 8.427069 94.660945
11 93.774227 0.779521 94.660945
12 93.965914 0.634977 94.660945
13 94.153384 0.428652 94.660945
14 94.134043 0.590239 94.660945
15 94.295102 0.483277 94.726708
16 94.282422 0.641247 94.726708
17 94.293055 0.604411 94.726708
18 94.254788 0.651361 94.786708
19 94.294309 0.643635 94.786708
20 94.352202 0.552378 94.786708
