gen mean_fit std_fit max_fit
2 -0.541705 6.013554 41.723414
3 1.036961 7.406907 41.723414
4 4.539289 11.588161 48.12216
5 11.573202 16.667975 48.66216
6 21.201473 19.107812 50.82216
7 30.850492 16.668972 50.82216
8 37.426706 13.869078 50.82216
9 41.591981 12.503329 51.90216
10 41.834834 13.366478 51.90216
11 42.611428 13.669509 51.90216
12 44.352156 12.319814 51.90216
13 44.984224 12.325568 51.90216
14 46.036231 13.68685 51.90216
15 45.004259 14.01703 51.90216
16 44.62181 14.241433 51.90216
17 45.626662 12.377549 51.90216
18 45.175217 14.480873 51.90216
19 44.183747 14.277501 51.90216
20 45.559455 12.778397 51.90216
