gen mean_fit std_fit max_fit
2 37.496308 42.530034 92.394865
3 53.722374 41.063288 92.394865
4 70.654881 32.543415 92.479688
5 84.451138 19.130678 92.479688
6 88.520133 14.972453 93.434823
7 90.54232 10.805029 93.434823
8 90.701951 11.453456 93.434823
9 89.523201 14.242018 93.791096
10 90.032418 13.430412 93.791096
11 91.073422 9.882232 93.791096
12 90.732452 11.879413 93.791096
13 91.84885 7.231063 93.791096
14 92.045061 2.333713 93.791096
15 87.108355 19.076703 93.791096
16 88.58453 16.971973 93.791096
17 91.005587 10.300371 93.791096
18 88.610364 17.594004 93.791096
19 90.21965 12.324838 93.791096
20 86.066259 20.93613 93.791096
