gen mean_fit std_fit max_fit
2 -2.825039 5.780043 60.294725
3 -1.670258 8.304126 60.294725
4 0.327031 12.951428 60.294725
5 4.729538 17.656385 60.294725
6 17.755333 25.442979 61.494725
7 34.623257 22.973482 62.094725
8 44.901885 20.758938 75.90216
9 52.869362 18.533657 82.50216
10 55.814098 21.41477 83.080019
11 67.287757 17.936891 83.080019
12 63.457439 30.018025 83.080019
