gen mean_fit std_fit max_fit
2 6.042912 16.050925 61.559745
3 12.100221 17.9454 61.559745
4 22.116283 18.970798 76.772828
5 28.792445 20.090135 76.772828
6 31.740067 22.808539 76.772828
7 39.482376 27.689689 76.772828
8 61.987136 21.311271 76.772828
9 74.745038 12.03326 76.772828
10 76.07886 7.10249 76.772828
11 72.33749 17.935746 78.392828
12 68.57919 24.013986 78.392828
13 67.260959 25.588844 78.392828
14 71.04243 20.317444 78.392828
15 67.459272 25.414374 78.392828
16 64.528508 28.780021 78.392828
17 66.150096 27.553103 78.392828
18 69.257 24.384311 78.392828
19 68.89753 25.321577 78.392828
20 64.592781 29.95331 78.392828
