mean_fit std_fit max_fit mean_gain std_gain max_gain
-1.909481 10.989769 56.515365 -95.7 12.268252 -30.0
-1.607242 11.590468 66.244258 -95.346535 12.902096 -20.0
0.436657 13.147572 66.244258 -93.1 14.642063 -20.0
1.909302 14.717059 66.244258 -91.45 16.382842 -20.0
2.521329 15.019406 66.244258 -90.8 16.714066 -20.0
3.928659 16.172119 75.247427 -89.25 17.998264 -10.0
7.09617 18.996405 75.247427 -85.747126 21.125361 -10.0
6.411369 18.787686 75.247427 -86.527778 20.893893 -10.0
9.161328 21.011808 75.2699 -83.492063 23.378102 -10.0
9.355941 21.531526 75.2699 -83.211009 23.921919 -10.0
9.143074 21.986588 75.2699 -83.482143 24.447824 -10.0
10.678021 22.303624 75.2699 -81.734694 24.826973 -10.0
8.471629 21.269241 75.2699 -84.141414 23.613474 -10.0
9.265578 23.709744 94.785064 -81.92233 30.678948 100
7.082425 22.64275 94.785064 -84.742268 29.813606 100
5.661377 22.146312 94.785064 -86.363636 29.317301 100
6.775561 24.5868 94.852506 -83.44 38.443808 100
7.360263 24.274457 94.852506 -82.811881 38.069429 100
6.441964 24.706744 94.852506 -82.94 41.642723 100
7.36727 25.067531 94.852506 -81.858586 41.927549 100
