gen mean_fit std_fit max_fit
2 56.599688 25.498114 88.516054
3 66.310455 23.855321 90.858708
4 77.02969 13.652902 90.858708
5 81.800187 10.927806 90.858708
6 84.337665 11.8152 90.858708
7 84.704474 13.466122 90.858708
8 81.639219 16.243719 90.858708
9 81.940795 15.642158 90.858708
10 83.998021 13.858021 92.140945
11 81.894237 15.570498 92.140945
12 81.794911 16.336495 92.140945
13 84.544121 14.855942 92.140945
14 84.646978 13.964292 92.140945
15 83.938697 14.711248 92.140945
16 83.159467 18.11855 92.140945
17 86.544607 11.3446 93.832404
18 87.424227 8.087371 93.832404
19 85.007632 16.313179 93.832404
20 87.540405 9.979745 93.832404
